time;ax;ay;az;aT
0,945000;0,6682;0,9906;1,8480;2,201
0,949000;0,0293;1,4101;0,2766;1,437
0,953000;0,5852;1,0563;-2,0989;2,421
0,960000;-0,4288;1,6612;-1,9057;2,564
0,961000;0,1106;1,3697;0,9082;1,647
0,965000;-0,6797;0,9137;0,5916;1,283
0,969000;1,3428;1,7677;0,1322;2,224
0,977000;-0,7478;1,4186;-1,1663;1,983
0,977000;-0,0218;2,3871;0,5281;2,445
0,981000;-0,2492;1,2550;1,2160;1,765
0,984000;-0,3750;1,6117;1,1975;2,043
0,988000;0,4729;1,8874;-0,0885;1,948
0,993000;-0,0340;1,9440;-0,8923;2,139
0,997000;0,6176;1,9655;-0,7074;2,178
1,001000;0,2435;1,8556;-0,2474;1,888
1,004000;0,1398;1,4058;0,5759;1,526
1,009000;0,0373;1,3603;0,9175;1,641
1,012000;0,0356;0,4233;0,3305;0,538
1,016000;0,0952;0,8828;0,2892;0,934
1,020000;-0,3912;0,3057;-0,5173;0,717
1,025000;0,2973;0,5220;0,1695;0,624
1,028000;-0,5701;0,0382;-0,2778;0,635
1,033000;0,2098;0,6122;0,4519;0,789
1,036000;0,5588;0,1182;-0,0868;0,578
1,044000;-0,2558;-0,2845;-0,5196;0,645
1,044000;0,0997;0,6918;0,4327;0,822
1,048000;-0,1857;-0,1554;0,1788;0,301
1,053000;0,1418;0,3656;0,2765;0,480
1,057000;0,2765;0,0770;-0,5299;0,603
1,060000;-1,1010;-0,1513;-0,7876;1,362
1,064000;0,3852;0,9420;0,3468;1,075
1,068000;-0,4347;-0,1280;0,4085;0,610
1,072000;0,0114;0,6278;0,4798;0,790
1,076000;-0,3286;0,2912;0,5317;0,690
1,080000;-0,2519;0,6166;-0,1246;0,678
1,084000;0,1447;0,3410;-0,6030;0,708
1,088000;-0,2149;0,7391;-0,4996;0,918
1,092000;0,2961;0,0261;-0,6351;0,701
1,096000;-0,6349;0,3125;0,5999;0,928
1,100000;1,0459;0,2539;1,1302;1,561
1,104000;-0,2603;-0,2156;0,7747;0,845
1,109000;0,2129;0,0623;0,2498;0,334
1,112000;0,2327;-0,1506;-0,4588;0,536
1,115000;0,3943;0,4482;-0,4562;0,751
1,120000;0,5777;0,3464;-0,9244;1,144
1,125000;0,4616;0,3822;-0,8251;1,020
1,128000;0,8414;0,7563;-0,5727;1,268
1,131000;-0,5744;0,0667;-0,6792;0,892
1,136000;-1,4226;-0,0822;1,0846;1,791
1,139000;-1,1294;0,1718;1,1005;1,586
1,145000;0,0411;-0,3739;1,0564;1,121
1,147000;0,5608;0,7435;-0,1505;0,943
1,151000;-1,5287;-0,2548;-0,8847;1,785
1,156000;0,2397;0,6687;-0,8023;1,072
1,160000;-1,4369;-0,5120;-0,2581;1,547
1,163000;0,8241;0,2611;1,0506;1,361
1,167000;-0,9807;-0,9580;0,2221;1,389
1,171000;0,3993;0,5141;1,1544;1,325
1,177000;-0,8737;-1,3584;-0,5475;1,705
1,182000;-0,1809;0,0187;-0,2888;0,341
1,184000;-1,0116;-0,6768;-0,7263;1,417
1,187000;0,0712;-0,4091;-0,2115;0,466
1,193000;-0,2312;-0,9611;0,0279;0,989
1,195000;0,2439;-1,0765;0,4967;1,210
1,199000;0,1197;-0,9454;0,4100;1,037
1,203000;0,1587;-0,6842;-0,1406;0,716
1,211000;0,0725;-0,5057;-0,4659;0,691
1,211000;-0,0635;-0,6021;-0,4608;0,761
1,215000;-0,1200;-0,6299;-0,1828;0,667
1,219000;-0,1099;-0,6113;0,1308;0,635
1,223000;-0,1314;-0,5403;0,2934;0,629
1,228000;-0,1022;-0,5329;0,2379;0,592
1,231000;-0,1570;-0,4905;0,0198;0,515
1,235000;-0,1068;-0,4386;-0,2052;0,496
1,239000;-0,1712;-0,3551;-0,3366;0,518
1,243000;-0,1685;-0,3597;-0,2453;0,467
1,247000;-0,1469;-0,3089;0,0347;0,344
1,251000;-0,1638;-0,1938;0,2356;0,346
1,255000;-0,0918;-0,3327;0,2089;0,403
1,259000;-0,0628;-0,3044;0,0244;0,312
1,263000;-0,1487;-0,2690;-0,2077;0,371
1,267000;-0,3946;-0,3102;-0,3248;0,598
1,270000;-0,0140;-0,2957;-0,5181;0,597
1,275000;-0,6062;-0,1919;0,1546;0,654
1,279000;-0,1056;-0,4181;-0,1563;0,459
1,282000;-0,1502;-0,0629;0,2530;0,301
1,286000;-0,0067;-0,1270;-0,0628;0,142
1,295000;0,2499;0,0696;-0,1295;0,290
1,295000;0,5010;-0,0446;-0,2296;0,553
1,298000;0,4204;-0,1196;-1,0563;1,143
1,302000;0,4259;-0,2651;0,9185;1,047
1,306000;0,9683;-0,2453;1,6136;1,898
1,311000;0,4290;-0,7809;1,0949;1,412
1,315000;-0,2445;-0,1634;0,6030;0,671
1,318000;0,5372;-0,3566;-1,1729;1,338
1,323000;-0,3735;-0,0487;-1,1673;1,227
1,330000;0,0757;-0,0495;-0,4508;0,460
1,331000;0,2468;-0,0485;0,2265;0,338
1,334000;-0,5805;-0,0624;0,7930;0,985
1,338000;-0,4398;-0,0014;0,8205;0,931
1,345000;-0,2515;0,0288;0,1063;0,275
1,346000;-0,0248;-0,0705;-0,5089;0,514
1,351000;0,2589;0,2788;-0,6067;0,716
1,354000;0,3402;0,1914;-0,4387;0,587
1,363000;0,2269;0,2125;0,2696;0,412
1,363000;0,1477;0,2142;0,6231;0,675
1,366000;-0,1104;0,1670;0,5097;0,548
1,370000;-0,1632;0,2792;0,0758;0,332
1,378000;-0,3711;0,2764;-0,5081;0,687
1,379000;-0,1505;0,3248;-0,5149;0,627
1,382000;0,0071;0,1948;-0,2369;0,307
1,386000;0,1674;0,1373;0,1890;0,287
1,390000;0,0931;-0,0208;0,4087;0,420
1,395000;0,0785;-0,1721;0,2312;0,299
1,398000;-0,1344;-0,2832;-0,1782;0,361
1,402000;-0,1270;-0,3055;-0,3002;0,447
1,406000;-0,0003;-0,1768;-0,0775;0,193
1,412000;-0,0389;-0,2775;0,0660;0,288
1,414000;0,0874;-0,2037;0,1495;0,267
1,418000;-0,2551;-0,2641;-0,0373;0,369
1,422000;0,1347;-0,0640;-0,0087;0,149
1,428000;-0,0020;0,2125;0,1155;0,242
1,430000;0,2199;0,1251;-0,1766;0,309
1,434000;0,1094;0,1911;-0,0856;0,236
1,438000;0,0112;0,1162;-0,0282;0,120
1,445000;-0,3262;0,0440;-0,0689;0,336
1,446000;-0,0914;0,0603;0,0890;0,141
1,449000;-0,0938;-0,0550;0,1079;0,153
1,453000;0,0592;-0,0984;-0,0190;0,116
1,462000;0,1094;-0,0319;-0,0932;0,147
1,463000;0,0902;-0,0777;-0,0358;0,124
1,465000;0,0185;-0,0899;-0,0382;0,099
1,469000;-0,0986;-0,0663;0,0503;0,129
1,473000;-0,1127;-0,0762;0,0382;0,141
1,479000;-0,0813;-0,0598;-0,0217;0,103
1,482000;-0,0142;-0,0722;0,0021;0,074
1,485000;0,0050;-0,0032;-0,1056;0,106
1,489000;0,0457;-0,0632;-0,0624;0,100
1,495000;0,0146;0,0396;-0,0193;0,046
1,497000;-0,0189;0,0059;0,0357;0,041
1,501000;-0,0452;-0,0063;0,0571;0,073
1,505000;-0,0786;-0,0304;0,0331;0,091
1,511000;-0,0307;-0,0569;-0,0196;0,068
1,513000;0,0219;-0,0547;-0,0316;0,067
1,517000;-0,0021;0,0192;-0,0101;0,022
1,521000;-0,0261;-0,0193;0,0114;0,034
1,528000;0,0121;-0,0411;0,0425;0,060
1,529000;-0,0095;-0,0226;0,0519;0,057
1,533000;0,0334;-0,0447;0,0158;0,058
1,536000;0,0332;-0,0526;-0,0489;0,079
1,545000;-0,0148;-0,0531;-0,0417;0,069
1,545000;0,0234;-0,0442;-0,0131;0,052
1,549000;-0,0246;0,0267;0,0346;0,050
1,553000;-0,0773;0,0355;0,0512;0,099
1,556000;-0,0652;0,0898;0,0032;0,111
1,561000;-0,0340;0,0891;-0,0519;0,109
1,565000;-0,0005;0,0854;-0,0611;0,105
1,569000;0,0257;0,0272;-0,0630;0,073
1,573000;-0,0124;-0,0207;-0,0293;0,038
1,577000;-0,0619;-0,0752;0,0137;0,098
1,580000;-0,0588;-0,0963;0,0420;0,120
1,585000;-0,0321;-0,1172;0,0321;0,126
1,588000;0,0253;-0,1122;0,0127;0,116
1,594000;0,0727;-0,1141;-0,0564;0,147
1,596000;0,0128;-0,0401;-0,0299;0,052
1,600000;-0,0322;-0,0569;-0,0036;0,065
1,604000;-0,0271;-0,0806;0,0391;0,094
1,610000;-0,0005;0,0194;0,0363;0,041
1,613000;-0,0052;0,0163;0,0098;0,020
1,616000;0,0069;0,0038;-0,0046;0,009
1,620000;-0,0546;0,0437;-0,0213;0,073
1,624000;-0,0706;0,0642;0,0144;0,097
1,628000;-0,0700;-0,0009;-0,0095;0,071
1,633000;-0,0526;-0,0298;0,0213;0,064
1,636000;-0,0947;-0,0583;0,0211;0,113
1,640000;-0,0961;-0,0748;0,0185;0,123
1,645000;-0,0097;-0,0342;-0,0197;0,041
1,648000;0,0736;-0,0558;-0,0339;0,098
1,652000;0,0873;-0,0439;-0,0455;0,108
1,656000;0,0702;-0,0390;0,0189;0,082
1,661000;0,0460;-0,0366;-0,0003;0,059
