time;gFx;gFy;gFz;TgF
1,337000;0,2851;0,9616;-0,0459;1,004
1,342000;0,2839;0,9567;-0,0471;0,999
1,346000;0,2851;0,9589;-0,0437;1,001
1,349000;0,2853;0,9606;-0,0401;1,003
1,353000;0,2900;0,9604;-0,0410;1,004
1,357000;0,2919;0,9584;-0,0391;1,003
1,361000;0,2907;0,9591;-0,0401;1,003
1,365000;0,2893;0,9572;-0,0342;1,001
1,369000;0,2822;0,9584;-0,0374;1,000
1,374000;0,2836;0,9587;-0,0362;1,000
1,377000;0,2849;0,9601;-0,0357;1,002
1,381000;0,2905;0,9587;-0,0384;1,002
1,385000;0,2885;0,9582;-0,0430;1,002
1,392000;0,2917;0,9604;-0,0376;1,004
1,394000;0,2922;0,9530;-0,0415;0,998
1,397000;0,2861;0,9626;-0,0396;1,005
1,401000;0,2819;0,9626;-0,0410;1,004
1,406000;0,2814;0,9569;-0,0440;0,998
1,408000;0,2839;0,9599;-0,0410;1,002
1,413000;0,2846;0,9560;-0,0459;0,998
1,417000;0,2866;0,9567;-0,0457;1,000
1,420000;0,2897;0,9599;-0,0454;1,004
1,424000;0,2902;0,9572;-0,0432;1,001
1,428000;0,2832;0,9591;-0,0450;1,001
1,432000;0,2873;0,9601;-0,0462;1,003
1,436000;0,2866;0,9569;-0,0393;1,000
1,440000;0,2834;0,9587;-0,0471;1,001
1,444000;0,2868;0,9574;-0,0457;1,001
1,449000;0,2832;0,9613;-0,0469;1,003
1,453000;0,2824;0,9545;-0,0481;0,997
1,457000;0,2871;0,9577;-0,0491;1,001
1,461000;0,2875;0,9567;-0,0457;1,000
1,464000;0,2875;0,9606;-0,0457;1,004
1,469000;0,2868;0,9601;-0,0432;1,003
1,473000;0,2839;0,9557;-0,0450;0,998
1,477000;0,2853;0,9582;-0,0462;1,001
1,482000;0,2866;0,9545;-0,0420;0,997
1,486000;0,2890;0,9567;-0,0406;1,000
1,489000;0,2883;0,9584;-0,0354;1,001
1,497000;0,2856;0,9587;-0,0366;1,001
1,499000;0,2866;0,9577;-0,0332;1,000
1,512000;0,2841;0,9557;-0,0347;0,998
1,513000;0,2863;0,9569;-0,0337;0,999
1,513000;0,2832;0,9582;-0,0406;1,000
1,516000;0,2851;0,9555;-0,0386;0,998
1,517000;0,2834;0,9609;-0,0384;1,003
1,521000;0,2875;0,9565;-0,0420;1,000
1,525000;0,2871;0,9628;-0,0447;1,006
1,528000;0,2819;0,9569;-0,0496;0,999
1,532000;0,2839;0,9599;-0,0464;1,002
1,536000;0,2873;0,9545;-0,0496;0,998
1,540000;0,2871;0,9577;-0,0469;1,001
1,544000;0,2846;0,9557;-0,0506;0,998
1,548000;0,2890;0,9579;-0,0493;1,002
1,552000;0,2866;0,9577;-0,0476;1,001
1,557000;0,2910;0,9587;-0,0535;1,003
1,560000;0,2880;0,9604;-0,0496;1,004
1,566000;0,2907;0,9569;-0,0486;1,001
1,569000;0,2856;0,9626;-0,0513;1,005
1,571000;0,2890;0,9591;-0,0520;1,003
1,576000;0,2888;0,9562;-0,0464;1,000
1,579000;0,2873;0,9601;-0,0520;1,004
1,583000;0,2875;0,9613;-0,0467;1,005
1,587000;0,2851;0,9596;-0,0503;1,002
1,592000;0,2878;0,9599;-0,0520;1,003
1,595000;0,2817;0,9579;-0,0535;1,000
1,599000;0,2844;0,9582;-0,0454;1,001
1,603000;0,2868;0,9589;-0,0474;1,002
1,610000;0,2858;0,9582;-0,0523;1,001
1,611000;0,2849;0,9609;-0,0493;1,003
1,615000;0,2888;0,9599;-0,0518;1,004
1,619000;0,2866;0,9547;-0,0501;0,998
1,634000;0,2897;0,9594;-0,0511;1,003
1,637000;0,2922;0,9547;-0,0486;1,000
1,637000;0,2880;0,9594;-0,0447;1,003
1,637000;0,2863;0,9589;-0,0476;1,002
1,641000;0,2819;0,9577;-0,0471;0,999
1,643000;0,2849;0,9606;-0,0454;1,003
1,647000;0,2846;0,9606;-0,0467;1,003
1,651000;0,2846;0,9604;-0,0432;1,003
1,655000;0,2912;0,9599;-0,0440;1,004
1,659000;0,2885;0,9565;-0,0447;1,000
1,663000;0,2883;0,9587;-0,0440;1,002
1,667000;0,2902;0,9550;-0,0418;0,999
1,671000;0,2873;0,9601;-0,0454;1,003
1,676000;0,2849;0,9574;-0,0432;1,000
1,678000;0,2841;0,9599;-0,0459;1,002
1,682000;0,2893;0,9616;-0,0496;1,005
1,686000;0,2851;0,9535;-0,0496;0,996
1,691000;0,2932;0,9557;-0,0481;1,001
1,694000;0,2910;0,9594;-0,0535;1,004
1,698000;0,2866;0,9645;-0,0545;1,008
