time;gFx;gFy;gFz;TgF
2,272000;-0,0865;0,4930;0,9469;1,071
2,286000;-0,1285;0,4505;0,9313;1,042
2,339000;-0,1671;0,4183;0,9025;1,009
2,340000;-0,1984;0,4002;0,8565;0,966
2,341000;-0,2189;0,3987;0,8174;0,935
2,343000;-0,2116;0,4153;0,7989;0,925
2,345000;-0,1827;0,4354;0,7896;0,920
2,345000;-0,1378;0,4544;0,8028;0,933
2,353000;-0,1011;0,4686;0,8292;0,958
2,370000;-0,0796;0,4779;0,8394;0,969
2,373000;-0,0850;0,4852;0,8502;0,983
2,409000;-0,0967;0,4808;0,8604;0,990
2,410000;-0,1124;0,4578;0,8663;0,986
2,411000;-0,1407;0,4349;0,8805;0,992
2,413000;-0,1725;0,4192;0,8780;0,988
2,423000;-0,1901;0,4251;0,8688;0,986
2,433000;-0,1930;0,4373;0,8565;0,981
2,445000;-0,1832;0,4559;0,8639;0,994
2,453000;-0,1495;0,4735;0,8785;1,009
2,463000;-0,1158;0,4847;0,8937;1,023
2,473000;-0,1007;0,4862;0,8893;1,018
2,487000;-0,1099;0,4784;0,8834;1,011
2,531000;-0,1402;0,4696;0,8668;0,996
2,532000;-0,1686;0,4559;0,8458;0,975
2,533000;-0,1940;0,4456;0,8189;0,952
2,533000;-0,2008;0,4417;0,7925;0,929
2,534000;-0,1954;0,4495;0,7896;0,929
2,544000;-0,1735;0,4622;0,8101;0,949
2,553000;-0,1285;0,4886;0,8512;0,990
2,563000;-0,1104;0,4945;0,8878;1,022
2,573000;-0,1192;0,4955;0,8912;1,027
2,583000;-0,1358;0,4798;0,8771;1,009
2,643000;-0,1495;0,4666;0,8673;0,996
2,644000;-0,1661;0,4495;0,8414;0,968
2,645000;-0,1867;0,4334;0,8248;0,950
2,646000;-0,1915;0,4300;0,8297;0,954
2,646000;-0,1735;0,4402;0,8438;0,967
2,647000;-0,1647;0,4515;0,8477;0,974
2,653000;-0,1437;0,4700;0,8443;0,977
2,663000;-0,1060;0,4964;0,8556;0,995
2,673000;-0,0762;0,5101;0,8585;1,002
2,687000;-0,0762;0,5018;0,8438;0,985
2,732000;-0,0977;0,4920;0,8204;0,962
2,732000;-0,1266;0,4862;0,8277;0,968
2,733000;-0,1476;0,4847;0,8541;0,993
2,733000;-0,1529;0,4837;0,8712;1,008
2,734000;-0,1559;0,4754;0,8639;0,998
2,745000;-0,1666;0,4652;0,8448;0,979
2,753000;-0,1739;0,4744;0,8424;0,982
2,763000;-0,1632;0,4779;0,8429;0,983
2,773000;-0,1480;0,4911;0,8438;0,987
2,783000;-0,1158;0,5052;0,8404;0,987
2,842000;-0,1021;0,5086;0,8409;0,988
2,843000;-0,0870;0,5223;0,8600;1,010
2,844000;-0,0831;0,5301;0,8736;1,025
2,846000;-0,0953;0,5243;0,8849;1,033
2,848000;-0,1104;0,5062;0,8859;1,026
2,848000;-0,1314;0,4827;0,8751;1,008
2,853000;-0,1520;0,4744;0,8658;0,999
2,863000;-0,1632;0,4691;0,8521;0,986
2,873000;-0,1476;0,4715;0,8341;0,969
2,888000;-0,1246;0,4837;0,8448;0,981
2,892000;-0,1094;0,4886;0,8717;1,005
2,921000;-0,0987;0,4915;0,8795;1,012
2,923000;-0,0953;0,4906;0,8780;1,010
2,923000;-0,0992;0,4876;0,8673;1,000
2,933000;-0,1036;0,4818;0,8702;1,000
2,942000;-0,1138;0,4720;0,8712;0,997
2,953000;-0,1295;0,4627;0,8512;0,977
2,971000;-0,1495;0,4578;0,8331;0,962
2,973000;-0,1642;0,4544;0,8199;0,952
3,028000;-0,1632;0,4529;0,8214;0,952
3,029000;-0,1437;0,4569;0,8267;0,955
3,030000;-0,1212;0,4622;0,8375;0,964
3,031000;-0,0977;0,4784;0,8624;0,991
3,031000;-0,0855;0,4920;0,8849;1,016
3,033000;-0,0963;0,4915;0,8946;1,025
3,043000;-0,1187;0,4823;0,9059;1,033
3,053000;-0,1353;0,4642;0,8942;1,017
3,071000;-0,1437;0,4476;0,8683;0,987
3,073000;-0,1490;0,4441;0,8463;0,967
3,124000;-0,1461;0,4471;0,8380;0,961
3,125000;-0,1339;0,4549;0,8458;0,970
3,126000;-0,1256;0,4696;0,8536;0,982
3,127000;-0,1187;0,4793;0,8541;0,987
3,127000;-0,1207;0,4852;0,8590;0,994
3,133000;-0,1314;0,4744;0,8609;0,992
