time;ax;ay;az;aT
1,528000;0,0144;-0,0160;-0,0075;0,023
1,531000;0,0047;-0,0088;0,0377;0,039
1,536000;0,0118;-0,0063;0,0208;0,025
1,540000;0,0141;0,0104;0,0182;0,025
1,544000;0,0234;0,0175;0,0252;0,039
1,548000;-0,0314;0,0149;0,0107;0,036
1,551000;0,0069;-0,0020;0,0344;0,035
1,555000;-0,0051;-0,0328;-0,0371;0,050
1,562000;-0,0311;-0,0087;0,0202;0,038
1,564000;0,0262;0,0128;0,0176;0,034
1,570000;-0,0001;-0,0276;-0,0134;0,031
1,571000;-0,0073;-0,0084;0,0342;0,036
1,575000;-0,0024;0,0058;0,0197;0,021
1,579000;0,0237;0,0010;0,0219;0,032
1,583000;0,0069;-0,0156;-0,0091;0,019
1,587000;-0,0074;-0,0037;0,0313;0,032
1,592000;-0,0239;-0,0083;0,0168;0,030
1,603000;0,0262;0,0179;0,0119;0,034
1,605000;-0,0049;0,0107;0,0142;0,018
1,605000;-0,0048;-0,0227;0,0212;0,031
1,611000;0,0143;-0,0129;-0,0146;0,024
1,617000;0,0260;0,0086;-0,0382;0,047
1,618000;0,0352;0,0084;-0,0189;0,041
1,618000;0,0136;-0,0059;-0,0021;0,015
1,623000;0,0277;-0,0036;0,0002;0,028
1,628000;-0,0059;0,0036;-0,0116;0,014
1,631000;-0,0010;-0,0250;0,0074;0,026
1,635000;-0,0319;-0,0058;0,0169;0,037
1,639000;0,0111;-0,0152;-0,0046;0,019
1,643000;0,0252;-0,0104;0,0215;0,035
1,648000;-0,0154;0,0157;-0,0024;0,022
1,651000;0,0157;-0,0129;-0,0214;0,030
1,654000;-0,0272;-0,0081;0,0144;0,032
1,658000;-0,0151;0,0086;-0,0213;0,028
1,663000;-0,0198;-0,0081;-0,0069;0,022
1,667000;0,0350;0,0181;0,0216;0,045
1,670000;0,0228;0,0132;0,0167;0,031
1,675000;0,0061;0,0013;-0,0048;0,008
1,683000;-0,0391;0,0084;-0,0024;0,040
1,685000;0,0276;-0,0107;-0,0261;0,039
1,686000;-0,0011;0,0107;-0,0140;0,018
1,690000;-0,0295;-0,0060;0,0146;0,033
1,696000;0,0134;0,0035;-0,0022;0,014
1,698000;-0,0130;-0,0061;-0,0188;0,024
1,702000;-0,0200;0,0201;0,0170;0,033
1,706000;0,0063;0,0175;0,0121;0,022
1,712000;0,0323;-0,0112;0,0168;0,038
1,715000;-0,0011;0,0364;0,0285;0,046
1,718000;-0,0081;0,0053;0,0188;0,021
1,722000;-0,0151;0,0315;0,0020;0,035
1,726000;-0,0030;0,0074;0,0067;0,010
1,731000;-0,0149;-0,0165;-0,0171;0,028
1,736000;-0,0385;0,0145;0,0020;0,041
1,737000;-0,0002;0,0097;-0,0217;0,024
1,742000;-0,0096;0,0001;-0,0216;0,024
1,747000;-0,0071;0,0025;0,0048;0,009
1,750000;0,0118;0,0453;-0,0071;0,047
1,754000;-0,0192;0,0164;-0,0071;0,026
1,757000;0,0189;0,0233;-0,0284;0,041
1,764000;0,0164;-0,0077;-0,0187;0,026
1,767000;0,0116;0,0067;0,0100;0,017
1,769000;-0,0075;-0,0147;-0,0257;0,031
1,773000;0,0257;-0,0051;-0,0089;0,028
1,780000;-0,0339;0,0045;0,0102;0,036
1,783000;0,0139;-0,0430;0,0220;0,050
1,785000;-0,0265;-0,0071;-0,0138;0,031
1,789000;0,0331;-0,0284;-0,0303;0,053
1,798000;0,0138;0,0028;0,0008;0,014
1,800000;-0,0172;-0,0210;0,0079;0,028
1,802000;0,0186;-0,0256;-0,0016;0,032
1,806000;-0,0220;0,0197;0,0055;0,030
1,809000;-0,0265;0,0385;-0,0349;0,058
1,820000;-0,0003;-0,0022;0,0010;0,002
1,823000;0,0045;0,0215;-0,0014;0,022
1,823000;-0,0192;-0,0382;-0,0394;0,058
1,835000;-0,0191;-0,0166;-0,0249;0,035
1,836000;-0,0427;0,0310;-0,0318;0,062
1,836000;-0,0162;0,0000;0,0208;0,026
1,839000;0,0172;0,0071;0,0182;0,026
1,841000;0,0076;0,0070;0,0085;0,013
1,846000;-0,0209;0,0141;0,0013;0,025
1,850000;-0,0090;-0,0289;0,0084;0,031
1,853000;-0,0207;0,0330;0,0036;0,039
1,856000;0,0318;0,0161;-0,0202;0,041
1,861000;0,0315;-0,0528;-0,0034;0,062
1,865000;-0,0114;-0,0002;0,0014;0,012
1,869000;0,0005;-0,0119;0,0038;0,013
1,873000;0,0029;0,0310;0,0204;0,037
1,879000;-0,0043;-0,0239;0,0012;0,024
1,881000;-0,0113;0,0071;-0,0036;0,014
1,887000;-0,0159;0,0189;0,0012;0,025
1,889000;-0,0110;0,0140;-0,0130;0,022
1,893000;-0,0109;0,0020;0,0108;0,015
1,896000;-0,0109;0,0279;0,0107;0,032
1,900000;0,0296;-0,0127;0,0130;0,035
1,904000;0,0198;-0,0174;0,0342;0,043
1,908000;-0,0112;0,0183;0,0007;0,022
1,913000;-0,0206;-0,0198;0,0339;0,044
1,916000;-0,0014;-0,0220;-0,0091;0,024
1,919000;0,0010;0,0067;-0,0256;0,027
1,924000;-0,0038;-0,0004;0,0150;0,015
1,931000;0,0033;-0,0217;-0,0041;0,022
1,935000;-0,0039;0,0282;0,0054;0,029
1,936000;0,0223;0,0209;-0,0208;0,037
1,940000;-0,0277;0,0136;0,0079;0,032
1,945000;0,0105;0,0064;0,0173;0,021
1,948000;-0,0157;-0,0363;0,0006;0,040
1,952000;-0,0203;0,0329;0,0267;0,047
1,955000;0,0037;-0,0173;-0,0234;0,029
1,959000;0,0012;0,0161;0,0314;0,035
1,964000;0,0202;-0,0101;0,0121;0,026
1,968000;-0,0205;-0,0100;-0,0069;0,024
1,972000;-0,0085;-0,0241;-0,0211;0,033
1,976000;0,0225;0,0022;0,0147;0,027
1,984000;0,0057;-0,0216;0,0050;0,023
1,985000;-0,0181;0,0189;-0,0330;0,042
1,987000;-0,0084;0,0235;-0,0066;0,026
1,992000;-0,0392;-0,0029;-0,0018;0,039
1,996000;0,0038;0,0067;-0,0160;0,018
2,001000;-0,0057;-0,0290;0,0150;0,033
2,005000;0,0111;0,0021;-0,0303;0,032
2,008000;0,0015;0,0021;-0,0015;0,003
2,015000;0,0205;0,0448;0,0080;0,050
2,016000;-0,0082;0,0185;0,0269;0,034
2,020000;-0,0604;0,0538;0,0243;0,084
2,023000;0,0019;-0,0132;0,0146;0,020
2,030000;-0,0028;-0,0653;-0,0140;0,067
2,032000;-0,0313;-0,0268;0,0003;0,041
2,036000;0,0187;-0,0052;0,0098;0,022
2,039000;0,0067;0,0211;0,0074;0,023
2,043000;-0,0100;0,0091;0,0335;0,036
2,049000;-0,0218;0,0161;-0,0072;0,028
2,052000;-0,0026;0,0207;-0,0024;0,021
2,054000;-0,0144;-0,0032;0,0214;0,026
2,059000;0,0402;0,0110;-0,0192;0,046
2,067000;-0,0218;-0,0223;0,0142;0,034
2,068000;-0,0264;-0,0008;0,0141;0,030
2,072000;-0,0191;-0,0032;0,0164;0,025
2,075000;-0,0451;-0,0577;-0,0051;0,073
2,082000;0,0148;-0,0049;0,0044;0,016
2,085000;0,0123;-0,0024;-0,0122;0,018
2,087000;0,0336;0,0119;-0,0002;0,036
2,090000;-0,0212;0,0189;-0,0406;0,050
2,096000;0,0217;0,0307;0,0191;0,042
2,098000;0,0499;-0,0289;-0,0119;0,059
2,104000;0,0067;-0,0000;0,0143;0,016
2,107000;0,0256;-0,0072;0,0166;0,031
2,112000;-0,0054;0,0143;-0,0120;0,019
2,116000;0,0113;-0,0261;0,0118;0,031
2,119000;0,0065;0,0288;-0,0144;0,033
2,123000;-0,0031;0,0095;-0,0618;0,063
2,126000;0,0183;0,0213;-0,0019;0,028
2,131000;-0,0151;0,0045;0,0029;0,016
2,135000;0,0016;-0,0121;0,0100;0,016
2,139000;0,0064;0,0212;0,0218;0,031
2,143000;-0,0032;-0,0051;-0,0568;0,057
2,152000;0,0181;-0,0076;-0,0231;0,030
2,152000;-0,0081;0,0398;-0,0419;0,058
2,154000;0,0252;0,0158;-0,0012;0,030
